,salary_min,salary_max,currency,vacancy,link,source
82,50000.0,,руб.,Кассир-операционист в официальный дилер Chery/EXEED,https://hh.ru/vacancy/52818850?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
83,45000.0,60000.0,руб.,Кассир,https://hh.ru/vacancy/52798780?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
84,40000.0,50000.0,руб.,Продавец-кассир в ТЦ София,https://hh.ru/vacancy/52170236?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
85,50000.0,75000.0,руб.,Продавец-кассир,https://hh.ru/vacancy/52565045?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
86,50000.0,60000.0,руб.,Продавец-кассир в Цветочный салон,https://hh.ru/vacancy/50398115?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
87,37950.0,37950.0,руб.,Кассир-операционист,https://hh.ru/vacancy/52025750?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
88,45000.0,,руб.,Кассир,https://hh.ru/vacancy/52302329?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
89,48750.0,,руб.,Продавец-кассир,https://hh.ru/vacancy/52397980?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
90,50000.0,,руб.,Кассир-бухгалтер,https://hh.ru/vacancy/50943687?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
91,45000.0,55000.0,руб.,Кассир корнера/кафе в ДЕПО,https://hh.ru/vacancy/52952282?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
92,50000.0,,руб.,Продавец-кассир,https://hh.ru/vacancy/52123422?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
93,50000.0,60000.0,руб.,Продавец-кассир/бариста (Профсоюзная),https://hh.ru/vacancy/50972767?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
94,,65000.0,руб.,Администратор-кассир,https://hh.ru/vacancy/52997635?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
95,60000.0,70000.0,руб.,Продавец-кассир,https://hh.ru/vacancy/52427225?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
